County,County Value
Accomack,24
Albemarle,9
Alexandria City,13
Alleghany,19
Amelia,14
Amherst,16
Appomattox,16
Arlington,8
Augusta,10
Bath,15
Bedford,12
Bland,16
Botetourt,8
Bristol City,31
Brunswick,27
Buchanan,26
Buckingham,23
Buena Vista City,18
Campbell,18
Caroline,12
Carroll,22
Charles City,18
Charlotte,32
Charlottesville City,18
Chesapeake City,12
Chesterfield,9
Clarke,8
Colonial Heights City,15
Covington City,25
Craig,19
Culpeper,12
Cumberland,22
Danville City,29
Dickenson,23
Dinwiddie,17
Emporia City,33
Essex,21
Fairfax,7
Fairfax City,7
Falls Church City,4
Fauquier,7
Floyd,15
Fluvanna,9
Franklin,16
Franklin City,31
Frederick,8
Fredericksburg City,19
Galax City,29
Giles,15
Gloucester,11
Goochland,8
Grayson,23
Greene,12
Greensville,27
Halifax,27
Hampton City,19
Hanover,6
Harrisonburg City,17
Henrico,12
Henry,25
Highland,21
Hopewell City,33
Isle of Wight,10
James City,8
King and Queen,18
King George,8
King William,9
Lancaster,22
Lee,29
Lexington City,11
Loudoun,4
Louisa,13
Lunenburg,23
Lynchburg City,23
Madison,13
Manassas City,19
Manassas Park City,14
Martinsville City,30
Mathews,15
Mecklenburg,21
Middlesex,19
Montgomery,13
Nelson,18
New Kent,7
Newport News City,23
Norfolk City,25
Northampton,27
Northumberland,23
Norton City,30
Nottoway,23
Orange,12
Page,17
Patrick,19
Petersburg City,32
Pittsylvania,17
Poquoson City,7
Portsmouth City,25
Powhatan,7
Prince Edward,29
Prince George,11
Prince William,8
Pulaski,23
Radford City,18
Rappahannock,14
Richmond,22
Richmond City,28
Roanoke,8
Roanoke City,26
Rockbridge,15
Rockingham,12
Russell,22
Salem City,13
Scott,23
Shenandoah,12
Smyth,20
Southampton,18
Spotsylvania,9
Stafford,7
Staunton City,17
Suffolk City,15
Surry,20
Sussex,28
Tazewell,27
Virginia Beach City,11
Warren,10
Washington,16
Waynesboro City,19
Westmoreland,21
Williamsburg City,21
Winchester City,22
Wise,20
Wythe,19
York,7