County,County Value**,Error Margin,Hispanic (all races),Non-Hispanic Asian,Non-Hispanic Black,Non-Hispanic White
"Virginia","77.8","77.8-77.9",,,,
"Accomack","74.5","73.4-75.5","88.8",,"69.9","75.5"
"Albemarle","81.6","81.1-82.2","89.5","84.4","76.0","82.0"
"Alexandria City","82.4","81.9-82.9","87.1","86.8","78.2","83.4"
"Alleghany","72.7","71.0-74.5",,,,
"Amelia","74.2","72.7-75.7",,,"72.6","74.4"
"Amherst","75.5","74.5-76.4",,,"75.5","75.4"
"Appomattox","76.7","75.3-78.1",,,"74.3","77.1"
"Arlington","84.5","84.0-84.9","90.4","87.8","78.1","84.8"
"Augusta","78.0","77.3-78.7","86.7",,"77.8","77.9"
"Bath","74.0","71.1-76.9",,,,
"Bedford","77.6","76.9-78.2","92.5",,"76.1","77.3"
"Bland","75.9","73.9-77.8",,,,
"Botetourt","77.4","76.5-78.4",,,,
"Bristol City","71.7","70.3-73.0",,,,
"Brunswick","71.9","70.3-73.6",,,"69.1","74.6"
"Buchanan","69.3","67.9-70.8",,,,
"Buckingham","75.0","73.4-76.5",,,"75.9","74.3"
"Buena Vista City","72.6","70.5-74.7",,,,
"Campbell","76.6","75.8-77.4","95.6",,"76.0","76.4"
"Caroline","75.4","74.4-76.4","95.5",,"75.7","74.5"
"Carroll","74.4","73.4-75.5",,,,
"Charles City","76.0","73.6-78.4",,,"74.2","77.0"
"Charlotte","71.5","69.8-73.3",,,"67.8","72.8"
"Charlottesville City","78.5","77.6-79.3","82.6","86.3","72.4","80.4"
"Chesapeake City","77.3","77.0-77.7","86.1","84.4","75.9","77.6"
"Chesterfield","78.2","77.9-78.5","82.0","85.1","75.9","78.6"
"Clarke","78.0","76.7-79.4",,,,
"Colonial Heights City","72.7","71.5-73.9",,,"68.4","72.5"
"Covington City","68.4","66.1-70.7",,,,
"Craig","74.5","72.1-76.9",,,,
"Culpeper","77.0","76.2-77.7","91.9",,"73.6","76.7"
"Cumberland","76.3","74.5-78.2",,,"75.2","76.0"
"Danville City","68.2","67.3-69.1","81.8",,"67.1","68.5"
"Dickenson","72.0","70.6-73.5",,,,
"Dinwiddie","75.2","74.1-76.3",,,"74.7","74.9"
"Emporia City","70.2","67.6-72.8",,,,
"Essex","72.2","70.2-74.2",,,"70.3","72.7"
"Fairfax","85.0","84.8-85.2","89.1","89.6","83.5","84.2"
"Fairfax City","75.4","74.4-76.4","79.4","78.0",,"75.5"
"Falls Church City","77.5","76.0-78.9",,,,
"Fauquier","79.2","78.6-79.8","92.1",,"74.8","79.0"
"Floyd","76.8","75.3-78.4",,,,
"Fluvanna","79.8","78.7-80.9",,,"76.2","80.2"
"Franklin","75.8","75.0-76.6",,,"70.5","75.9"
"Franklin City","67.0","65.1-69.0",,,"63.5","71.4"
"Frederick","78.8","78.2-79.4","87.5","89.4","81.0","78.3"
"Fredericksburg City","75.1","74.1-76.2","82.2",,"72.2","75.2"
"Galax City","67.5","65.5-69.5",,,,
"Giles","73.4","72.0-74.7",,,,
"Gloucester","75.9","75.0-76.8","95.4",,"70.1","76.1"
"Goochland","80.6","79.5-81.7",,,"71.7","81.9"
"Grayson","74.7","73.2-76.2",,,,
"Greene","78.2","77.1-79.3",,,,
"Greensville","71.0","69.2-72.8",,,"69.5","73.3"
"Halifax","72.1","71.0-73.2",,,"70.8","72.1"
"Hampton City","74.6","74.1-75.1","83.3","80.1","73.5","74.8"
"Hanover","78.3","77.8-78.8","96.7","85.3","75.2","78.5"
"Harrisonburg City","78.6","77.8-79.4","86.3","91.2","73.2","78.3"
"Henrico","77.5","77.2-77.8","84.2","88.0","74.7","78.1"
"Henry","71.2","70.3-72.1","88.9",,"70.6","70.6"
"Highland","78.3","73.5-83.1",,,,
"Hopewell City","67.5","66.2-68.7","85.6",,"66.2","66.3"
"Isle of Wight","77.0","76.1-77.9","93.2",,"72.8","77.9"
"James City","81.3","80.7-81.9","83.5","88.4","76.8","81.8"
"King and Queen","74.3","72.0-76.5",,,,
"King George","77.6","76.4-78.7","83.0",,"74.0","78.0"
"King William","76.0","74.7-77.4",,,"71.9","76.2"
"Lancaster","76.2","74.4-78.0",,,"71.9","77.5"
"Lee","71.8","70.7-73.0",,,,
"Lexington City","78.5","76.3-80.7",,,,
"Loudoun","84.3","84.0-84.7","87.2","88.6","81.4","83.7"
"Louisa","76.2","75.3-77.1",,,"73.3","76.3"
"Lunenburg","74.4","72.7-76.2",,,"75.4","73.0"
"Lynchburg City","73.5","72.9-74.2","81.3","85.5","68.7","75.4"
"Madison","78.3","76.8-79.8",,,,
"Manassas City","76.6","75.8-77.5","80.3","81.6","72.6","76.2"
"Manassas Park City","87.3","82.5-92.1",,"100+","100+","83.5"
"Martinsville City","66.6","65.2-68.0",,,"65.7","65.8"
"Mathews","76.0","74.0-78.1",,,,
"Mecklenburg","72.6","71.4-73.7",,,"68.7","73.9"
"Middlesex","74.3","72.3-76.3",,,,
"Montgomery","79.2","78.6-79.7","84.4","94.2","75.7","78.9"
"Nelson","77.1","75.6-78.5",,,,
"New Kent","77.4","76.4-78.5",,,"76.0","76.9"
"Newport News City","74.7","74.2-75.1","82.3","84.3","71.9","76.2"
"Norfolk City","73.4","73.0-73.8","81.4","87.3","69.2","76.1"
"Northampton","74.5","72.5-76.6",,,"69.2","76.8"
"Northumberland","75.8","73.8-77.8",,,"71.4","76.0"
"Norton City","65.3","62.2-68.4",,,,
"Nottoway","73.1","71.6-74.6",,,"70.6","73.5"
"Orange","75.5","74.6-76.4","91.0",,"71.6","75.6"
"Page","74.6","73.4-75.7",,,,
"Patrick","73.2","71.8-74.6",,,,
"Petersburg City","65.1","64.1-66.1","81.2",,"65.6","60.6"
"Pittsylvania","75.4","74.7-76.2","97.1",,"74.9","75.1"
"Poquoson City","78.9","77.3-80.5",,,,
"Portsmouth City","70.8","70.2-71.4","80.8",,"68.5","73.3"
"Powhatan","78.1","77.0-79.2",,,"73.4","78.8"
"Prince Edward","74.2","73.0-75.5",,,"72.2","75.1"
"Prince George","78.6","77.5-79.6","84.2",,"78.0","78.0"
"Prince William","81.3","81.0-81.6","84.1","84.6","79.5","80.9"
"Pulaski","73.5","72.6-74.5",,,"71.2","73.3"
"Radford City","74.0","72.7-75.4",,,,
"Rappahannock","78.3","76.0-80.6",,,,
"Richmond","75.5","73.6-77.5",,,"72.4","75.6"
"Richmond City","74.3","73.8-74.7","90.3","99.6","67.4","81.8"
"Roanoke","77.2","76.6-77.8","90.1","82.7","75.1","77.4"
"Roanoke City","70.7","70.1-71.3","87.2","95.6","68.7","70.9"
"Rockbridge","76.8","75.2-78.4",,,,
"Rockingham","78.5","78.0-79.1","83.5",,"78.1","78.3"
"Russell","72.9","71.8-74.0",,,,
"Salem City","73.4","72.4-74.5",,,"66.1","73.9"
"Scott","73.1","71.8-74.4",,,,
"Shenandoah","77.0","76.2-77.7","81.6",,,"76.6"
"Smyth","70.9","69.8-71.9",,,,
"Southampton","75.8","74.3-77.4",,,"75.3","75.7"
"Spotsylvania","78.3","77.8-78.7","81.8","86.2","77.3","77.8"
"Stafford","79.3","78.8-79.7","83.4","85.4","78.1","78.9"
"Staunton City","74.9","74.0-75.9",,,"74.3","74.9"
"Suffolk City","76.1","75.6-76.7","82.3","92.8","73.8","77.3"
"Surry","76.4","74.2-78.6",,,"75.2","76.5"
"Sussex","71.7","69.8-73.7",,,"71.7","71.5"
"Tazewell","70.2","69.3-71.2",,,,
"Virginia Beach City","78.8","78.5-79.0","82.6","87.5","75.6","78.8"
"Warren","75.0","74.2-75.8","96.7",,"73.4","74.7"
"Washington","74.3","73.5-75.1",,,,
"Waynesboro City","73.3","72.2-74.5",,,"70.3","72.7"
"Westmoreland","74.8","73.2-76.4",,,"72.4","74.3"
"Williamsburg City","79.9","78.0-81.8",,,"71.5","82.7"
"Winchester City","75.4","74.4-76.5","84.6",,"70.8","75.4"
"Wise","71.1","70.3-71.9",,,"74.9","70.6"
"Wythe","72.6","71.5-73.6",,,,
"York","81.2","80.5-81.8","86.3","87.3","77.8","81.1"