County,# Primary Care Physicians,County Value**
"Virginia","6,580","1,320:1"
"Accomack","11","3,020:1"
"Albemarle","158","720:1"
"Alexandria City","120","1,300:1"
"Alleghany","6","2,470:1"
"Amelia","1","13,460:1"
"Amherst","6","5,260:1"
"Appomattox","2","8,370:1"
"Arlington","174","1,340:1"
"Augusta","44","1,770:1"
"Bath",,
"Bedford","58","1,390:1"
"Bland",,
"Botetourt","21","1,630:1"
"Bristol City","11","1,540:1"
"Brunswick","3","5,310:1"
"Buchanan","4","4,840:1"
"Buckingham","3","5,660:1"
"Buena Vista City","1","6,590:1"
"Campbell","7","7,880:1"
"Caroline","3","10,650:1"
"Carroll","22","1,320:1"
"Charles City","1","6,610:1"
"Charlotte","6","1,910:1"
"Charlottesville City","129","350:1"
"Chesapeake City","192","1,320:1"
"Chesterfield","315","1,200:1"
"Clarke","5","3,050:1"
"Colonial Heights City","23","800:1"
"Covington City","3","1,890:1"
"Craig","2","2,420:1"
"Culpeper","22","2,470:1"
"Cumberland","3","3,250:1"
"Danville City","54","780:1"
"Dickenson","2","6,860:1"
"Dinwiddie","4","7,040:1"
"Emporia City",,
"Essex","4","2,660:1"
"Fairfax","1,298","880:1"
"Fairfax City","1","24,840:1"
"Falls Church City","49","300:1"
"Fauquier","29","2,570:1"
"Floyd","3","5,210:1"
"Fluvanna","8","3,520:1"
"Franklin","17","3,240:1"
"Franklin City","9","920:1"
"Frederick","43","2,210:1"
"Fredericksburg City","56","510:1"
"Galax City",,
"Giles","9","1,830:1"
"Gloucester","16","2,470:1"
"Goochland","18","1,450:1"
"Grayson","2","7,670:1"
"Greene","6","3,520:1"
"Greensville","3","3,740:1"
"Halifax","13","2,590:1"
"Hampton City","54","2,560:1"
"Hanover","86","1,310:1"
"Harrisonburg City","65","790:1"
"Henrico","347","960:1"
"Henry","21","2,380:1"
"Highland","3","770:1"
"Hopewell City","7","3,280:1"
"Isle of Wight","16","2,510:1"
"James City","91","890:1"
"King and Queen","2","3,360:1"
"King George","6","4,640:1"
"King William","5","3,700:1"
"Lancaster","5","2,150:1"
"Lee","6","3,660:1"
"Lexington City",,
"Loudoun","334","1,290:1"
"Louisa","3","13,370:1"
"Lunenburg","2","6,020:1"
"Lynchburg City","124","640:1"
"Madison","2","7,000:1"
"Manassas City","43","990:1"
"Manassas Park City",,
"Martinsville City",,
"Mathews","2","4,250:1"
"Mecklenburg","16","1,910:1"
"Middlesex","5","2,190:1"
"Montgomery","75","1,320:1"
"Nelson","9","1,630:1"
"New Kent","8","3,120:1"
"Newport News City","122","1,510:1"
"Norfolk City","233","1,000:1"
"Northampton","14","850:1"
"Northumberland","8","1,540:1"
"Norton City","4","900:1"
"Nottoway","6","2,590:1"
"Orange","20","1,900:1"
"Page","7","3,390:1"
"Patrick","4","4,410:1"
"Petersburg City","18","1,860:1"
"Pittsylvania","5","11,990:1"
"Poquoson City","11","1,140:1"
"Portsmouth City","56","1,730:1"
"Powhatan","13","2,420:1"
"Prince Edward","15","1,460:1"
"Prince George","10","4,310:1"
"Prince William","223","2,180:1"
"Pulaski","10","3,370:1"
"Radford City","7","2,390:1"
"Rappahannock","2","3,750:1"
"Richmond","1","9,080:1"
"Richmond City","257","890:1"
"Roanoke","124","780:1"
"Roanoke City","108","910:1"
"Rockbridge","19","1,190:1"
"Rockingham","22","3,880:1"
"Russell","10","2,540:1"
"Salem City","39","650:1"
"Scott","6","3,580:1"
"Shenandoah","17","2,650:1"
"Smyth","14","2,100:1"
"Southampton","3","5,980:1"
"Spotsylvania","68","2,160:1"
"Stafford","38","4,300:1"
"Staunton City","12","2,160:1"
"Suffolk City","83","1,190:1"
"Surry","2","3,260:1"
"Sussex","3","3,560:1"
"Tazewell","17","2,340:1"
"Virginia Beach City","336","1,360:1"
"Warren","18","2,300:1"
"Washington","49","1,100:1"
"Waynesboro City","20","1,140:1"
"Westmoreland","4","4,680:1"
"Williamsburg City","2","7,950:1"
"Winchester City","76","370:1"
"Wise","14","2,530:1"
"Wythe","13","2,160:1"
"York","80","890:1"