County,# Unemployed,Labor Force,County Value
"Virginia","131,270","4,555,208","2.9%"
"Accomack","546","15,114","3.6%"
"Albemarle","1,596","61,685","2.6%"
"Alexandria City","2,487","101,530","2.4%"
"Alleghany","235","6,041","3.9%"
"Amelia","205","6,550","3.1%"
"Amherst","463","15,331","3.0%"
"Appomattox","259","8,106","3.2%"
"Arlington","3,458","155,005","2.2%"
"Augusta","996","40,534","2.5%"
"Bath","57","2,225","2.6%"
"Bedford","1,149","38,924","3.0%"
"Bland","86","2,646","3.3%"
"Botetourt","444","17,439","2.5%"
"Bristol City","270","7,586","3.6%"
"Brunswick","266","6,603","4.0%"
"Buchanan","265","6,275","4.2%"
"Buckingham","250","7,240","3.5%"
"Buena Vista City","94","3,172","3.0%"
"Campbell","818","27,334","3.0%"
"Caroline","508","16,672","3.0%"
"Carroll","464","12,384","3.7%"
"Charles City","118","3,483","3.4%"
"Charlotte","166","4,897","3.4%"
"Charlottesville City","613","25,322","2.4%"
"Chesapeake City","3,653","126,922","2.9%"
"Chesterfield","5,880","206,789","2.8%"
"Clarke","213","8,256","2.6%"
"Colonial Heights City","297","9,441","3.1%"
"Covington City","91","2,209","4.1%"
"Craig","69","2,107","3.3%"
"Culpeper","750","28,745","2.6%"
"Cumberland","149","5,540","2.7%"
"Danville City","928","18,054","5.1%"
"Dickenson","200","4,808","4.2%"
"Dinwiddie","443","14,459","3.1%"
"Emporia City","136","2,362","5.8%"
"Essex","197","5,021","3.9%"
"Fairfax","16,406","653,125","2.5%"
"Fairfax City","341","14,371","2.4%"
"Falls Church City","203","8,386","2.4%"
"Fauquier","1,000","42,758","2.3%"
"Floyd","230","8,708","2.6%"
"Fluvanna","364","14,955","2.4%"
"Franklin","804","26,630","3.0%"
"Franklin City","143","3,627","3.9%"
"Frederick","1,349","51,973","2.6%"
"Fredericksburg City","502","16,408","3.1%"
"Galax City","103","2,977","3.5%"
"Giles","246","7,953","3.1%"
"Gloucester","535","20,721","2.6%"
"Goochland","378","13,608","2.8%"
"Grayson","219","7,125","3.1%"
"Greene","289","11,821","2.4%"
"Greensville","169","3,821","4.4%"
"Halifax","619","14,788","4.2%"
"Hampton City","2,436","67,433","3.6%"
"Hanover","1,594","62,896","2.5%"
"Harrisonburg City","875","26,367","3.3%"
"Henrico","5,476","187,213","2.9%"
"Henry","849","21,469","4.0%"
"Highland","33","1,146","2.9%"
"Hopewell City","432","10,220","4.2%"
"Isle of Wight","577","20,977","2.8%"
"James City","1,094","38,427","2.8%"
"King and Queen","105","3,621","2.9%"
"King George","406","15,001","2.7%"
"King William","272","10,597","2.6%"
"Lancaster","204","4,741","4.3%"
"Lee","289","7,793","3.7%"
"Lexington City","144","3,445","4.2%"
"Loudoun","6,296","254,773","2.5%"
"Louisa","575","19,199","3.0%"
"Lunenburg","174","4,702","3.7%"
"Lynchburg City","1,439","37,728","3.8%"
"Madison","184","7,272","2.5%"
"Manassas City","598","24,303","2.5%"
"Manassas Park City","246","10,172","2.4%"
"Martinsville City","283","6,194","4.6%"
"Mathews","110","3,657","3.0%"
"Mecklenburg","470","14,179","3.3%"
"Middlesex","140","4,950","2.8%"
"Montgomery","1,556","51,308","3.0%"
"Nelson","193","7,190","2.7%"
"New Kent","354","14,201","2.5%"
"Newport News City","3,076","89,837","3.4%"
"Norfolk City","3,682","108,301","3.4%"
"Northampton","197","5,449","3.6%"
"Northumberland","215","4,597","4.7%"
"Norton City","53","1,511","3.5%"
"Nottoway","207","5,873","3.5%"
"Orange","531","18,568","2.9%"
"Page","427","12,033","3.5%"
"Patrick","248","7,735","3.2%"
"Petersburg City","737","15,242","4.8%"
"Pittsylvania","957","28,357","3.4%"
"Poquoson City","165","6,820","2.4%"
"Portsmouth City","1,679","44,426","3.8%"
"Powhatan","407","17,471","2.3%"
"Prince Edward","398","8,741","4.6%"
"Prince George","487","17,169","2.8%"
"Prince William","7,188","270,786","2.7%"
"Pulaski","509","16,260","3.1%"
"Radford City","330","9,006","3.7%"
"Rappahannock","97","3,753","2.6%"
"Richmond","124","3,351","3.7%"
"Richmond City","4,260","131,163","3.2%"
"Roanoke","1,349","50,117","2.7%"
"Roanoke City","1,588","49,009","3.2%"
"Rockbridge","293","11,179","2.6%"
"Rockingham","1,142","46,036","2.5%"
"Russell","371","9,447","3.9%"
"Salem City","385","13,412","2.9%"
"Scott","281","8,185","3.4%"
"Shenandoah","635","22,120","2.9%"
"Smyth","465","12,430","3.7%"
"Southampton","231","8,149","2.8%"
"Spotsylvania","2,255","79,801","2.8%"
"Stafford","2,359","86,113","2.7%"
"Staunton City","362","13,035","2.8%"
"Suffolk City","1,489","49,927","3.0%"
"Surry","99","3,387","2.9%"
"Sussex","166","4,671","3.6%"
"Tazewell","621","14,863","4.2%"
"Virginia Beach City","6,473","235,565","2.7%"
"Warren","600","21,891","2.7%"
"Washington","763","24,717","3.1%"
"Waynesboro City","325","11,918","2.7%"
"Westmoreland","324","7,746","4.2%"
"Williamsburg City","301","7,124","4.2%"
"Winchester City","443","15,240","2.9%"
"Wise","506","13,242","3.8%"
"Wythe","431","14,438","3.0%"
"York","916","33,938","2.7%"