County,# Uninsured Adults,County Value,Error Margin
"Virginia","443,783","9%","8-9%"
"Accomack","2,416","14%","12-16%"
"Albemarle","4,980","8%","7-9%"
"Alexandria City","9,499","9%","8-10%"
"Alleghany","691","9%","7-10%"
"Amelia","824","11%","9-13%"
"Amherst","1,491","9%","7-10%"
"Appomattox","947","10%","8-12%"
"Arlington","8,423","5%","4-6%"
"Augusta","3,429","8%","7-9%"
"Bath","154","7%","6-9%"
"Bedford","4,025","9%","7-10%"
"Bland","197","6%","5-8%"
"Botetourt","1,234","6%","5-8%"
"Bristol City","930","10%","8-12%"
"Brunswick","843","11%","9-13%"
"Buchanan","1,121","11%","9-13%"
"Buckingham","905","11%","9-13%"
"Buena Vista City","282","8%","6-10%"
"Campbell","2,811","9%","7-10%"
"Caroline","1,682","9%","7-10%"
"Carroll","1,886","12%","10-14%"
"Charles City","394","10%","9-12%"
"Charlotte","654","11%","9-13%"
"Charlottesville City","2,423","8%","7-10%"
"Chesapeake City","10,706","7%","6-8%"
"Chesterfield","18,485","8%","7-9%"
"Clarke","686","8%","6-9%"
"Colonial Heights City","878","8%","7-10%"
"Covington City","249","8%","6-10%"
"Craig","242","9%","7-10%"
"Culpeper","3,452","11%","9-13%"
"Cumberland","453","8%","7-10%"
"Danville City","2,156","10%","8-12%"
"Dickenson","726","10%","8-12%"
"Dinwiddie","1,383","8%","7-10%"
"Emporia City","267","9%","7-11%"
"Essex","672","11%","9-13%"
"Fairfax","57,269","8%","7-9%"
"Fairfax City","1,595","11%","9-13%"
"Falls Church City","419","5%","4-6%"
"Fauquier","3,981","9%","8-10%"
"Floyd","773","9%","7-10%"
"Fluvanna","996","6%","5-8%"
"Franklin","2,699","9%","7-10%"
"Franklin City","354","8%","6-10%"
"Frederick","5,205","9%","8-11%"
"Fredericksburg City","1,727","10%","8-12%"
"Galax City","453","12%","10-14%"
"Giles","876","9%","7-11%"
"Gloucester","1,878","8%","7-9%"
"Goochland","703","5%","4-6%"
"Grayson","825","11%","9-13%"
"Greene","1,241","10%","8-12%"
"Greensville","332","8%","7-9%"
"Halifax","1,690","10%","8-11%"
"Hampton City","6,470","8%","7-9%"
"Hanover","4,131","6%","5-7%"
"Harrisonburg City","4,476","15%","12-17%"
"Henrico","17,423","9%","8-10%"
"Henry","2,585","10%","8-11%"
"Highland","90","8%","6-10%"
"Hopewell City","1,225","9%","8-11%"
"Isle of Wight","1,685","7%","6-8%"
"James City","2,829","6%","5-8%"
"King and Queen","415","11%","9-13%"
"King George","1,241","7%","6-8%"
"King William","860","8%","6-9%"
"Lancaster","542","11%","9-13%"
"Lee","1,124","10%","8-12%"
"Lexington City","161","6%","4-7%"
"Loudoun","17,116","6%","5-7%"
"Louisa","2,252","9%","8-11%"
"Lunenburg","715","12%","10-14%"
"Lynchburg City","3,803","9%","7-11%"
"Madison","960","12%","10-14%"
"Manassas City","3,695","14%","12-16%"
"Manassas Park City","1,889","17%","14-20%"
"Martinsville City","749","10%","8-12%"
"Mathews","338","8%","6-9%"
"Mecklenburg","1,736","11%","9-13%"
"Middlesex","578","11%","9-13%"
"Montgomery","4,465","8%","6-9%"
"Nelson","872","11%","9-13%"
"New Kent","1,153","7%","6-9%"
"Newport News City","10,466","10%","8-11%"
"Norfolk City","14,012","11%","9-12%"
"Northampton","662","11%","9-13%"
"Northumberland","608","10%","8-12%"
"Norton City","134","6%","5-8%"
"Nottoway","802","10%","8-12%"
"Orange","1,981","9%","7-10%"
"Page","1,437","10%","9-12%"
"Patrick","875","9%","8-11%"
"Petersburg City","1,833","10%","8-12%"
"Pittsylvania","3,090","9%","8-11%"
"Poquoson City","393","5%","4-6%"
"Portsmouth City","4,487","8%","7-9%"
"Powhatan","1,334","7%","6-8%"
"Prince Edward","948","9%","7-11%"
"Prince George","1,430","7%","6-9%"
"Prince William","32,900","11%","10-12%"
"Pulaski","1,351","7%","6-8%"
"Radford City","655","7%","5-8%"
"Rappahannock","449","11%","9-13%"
"Richmond","497","12%","10-14%"
"Richmond City","15,053","10%","9-12%"
"Roanoke","3,560","6%","5-8%"
"Roanoke City","6,481","11%","10-13%"
"Rockbridge","991","8%","7-10%"
"Rockingham","5,131","11%","9-12%"
"Russell","1,423","10%","8-12%"
"Salem City","867","6%","5-7%"
"Scott","1,000","9%","7-10%"
"Shenandoah","2,761","11%","9-13%"
"Smyth","1,565","9%","8-11%"
"Southampton","669","7%","6-9%"
"Spotsylvania","8,070","9%","8-10%"
"Stafford","7,491","7%","6-8%"
"Staunton City","1,176","8%","6-10%"
"Suffolk City","4,932","8%","7-10%"
"Surry","278","8%","6-9%"
"Sussex","407","8%","7-10%"
"Tazewell","2,091","10%","8-12%"
"Virginia Beach City","22,579","8%","7-9%"
"Warren","2,467","10%","8-12%"
"Washington","2,515","9%","7-10%"
"Waynesboro City","1,391","10%","8-12%"
"Westmoreland","1,210","12%","10-14%"
"Williamsburg City","603","9%","7-11%"
"Winchester City","1,961","12%","10-15%"
"Wise","1,864","10%","8-12%"
"Wythe","1,399","9%","7-10%"
"York","2,314","6%","5-7%"